date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:44	140642/140642	---M--	200	added ('OK')	image/jpeg	etag:%2222562-5ec1abe336577%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/Deep.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/Deep.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:45	100053/100053	---M--	200	added ('OK')	image/jpeg	etag:%22186d5-5ec1abe3895bb%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/Vanshika.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/Vanshika.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:45	106441/106441	---M--	200	added ('OK')	image/jpeg	etag:%2219fc9-5ec1abe35e628%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/rahul.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/rahul.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:45	591172/591172	---M--	200	added ('OK')	image/jpeg	etag:%2290544-5ec1abe34dc81%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/Deepak.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/Deepak.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:46	122817/122817	---M--	200	added ('OK')	image/jpeg	etag:%221dfc1-5ec1abe36920d%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/simran.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/simran.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:46	212036/212036	---M--	200	added ('OK')	image/jpeg	etag:%2233c44-5ec1abe356925%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/dhruv.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/dhruv.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:47	218555/218555	---M--	200	added ('OK')	image/jpeg	etag:%22355bb-5ec1abe378c14%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/Tanya.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/Tanya.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:47	198866/198866	---M--	200	added ('OK')	image/jpeg	etag:%22308d2-5ec1abd971192%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/ayush.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/ayush.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:47	42966/42966	---M--	200	added ('OK')	image/jpeg	etag:%22a7d6-5ec1ae040a285%22	https://roboticsclub.iitd.ac.in/Team_2022/mentors/pankaj.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/mentors/pankaj.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:47	156858/156858	---M--	200	added ('OK')	image/jpeg	etag:%22264ba-5ec1ae13a0d15%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/chirag.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/chirag.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:47	268872/268872	---M--	200	added ('OK')	image/jpeg	etag:%2241a48-5ec1abe385739%22	https://roboticsclub.iitd.ac.in/Team_2022/Coordinators/tarun.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/Coordinators/tarun.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:48	206266/206266	---M--	200	added ('OK')	image/jpeg	etag:%22325ba-5ec1abe3b260d%22	https://roboticsclub.iitd.ac.in/Team_2022/mentors/gunsagar.jpeg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/mentors/gunsagar.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:49	2474/2474	---M--	200	added ('OK')	image/jpeg	etag:%229aa-5ec1ac0b1a5e5%22	https://roboticsclub.iitd.ac.in/img/scroll.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/scroll.jpg	(from https://roboticsclub.iitd.ac.in/style/style.css)
23:00:51	366090/366090	---M--	200	added ('OK')	image/jpeg	etag:%225960a-5ec1ac0a34da0%22	https://roboticsclub.iitd.ac.in/img/cover.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/cover.jpg	(from https://roboticsclub.iitd.ac.in/style/style.css)
23:00:52	1936222/1936222	---M--	200	added ('OK')	image/jpeg	etag:%221d8b5e-5ec1abe43d10a%22	https://roboticsclub.iitd.ac.in/Team_2022/mentors/paras_gupta.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/Team_2022/mentors/paras_gupta.jpg	(from https://roboticsclub.iitd.ac.in/)
23:00:53	2137566/2137566	---M--	200	added ('OK')	image/jpeg	etag:%22209dde-5ec1ac0b09c3d%22	https://roboticsclub.iitd.ac.in/img/roboconBack.jpg	C:/Users/Rifdhan/Desktop/trials/droneee/roboticsclub.iitd.ac.in/img/roboconBack.jpg	(from https://roboticsclub.iitd.ac.in/style/style.css)
